FISH,DATETIME
8,2023-8-31 10:50:57
3,2023-8-31 10:51:57
5,2023-8-31 10:52:57
5,2023-9-1 10:53:57
3,2023-9-1 17:54:02
1,2023-9-2 11:53:57
5,2023-9-2 14:53:57
7,2023-9-3 11:53:57
2,2023-9-3 18:53:57
11,2023-9-3 20:57:51
9,2023-9-3 20:58:27
8,2023-9-3 20:58:32
8,2023-9-3 20:58:37
8,2023-9-3 20:58:42
7,2023-9-3 20:58:47
8,2023-9-3 20:58:52
9,2023-9-3 20:58:57
8,2023-9-3 20:59:03
7,2023-9-3 20:59:07
9,2023-9-3 20:59:12
10,2023-9-3 20:59:18
8,2023-9-3 20:59:23
9,2023-9-3 20:59:28
9,2023-9-3 20:59:33
9,2023-9-3 20:59:38
9,2023-9-3 20:59:43
9,2023-9-3 20:59:48
9,2023-9-3 20:59:53
6,2023-9-3 20:59:58
8,2023-9-3 21:00:03
7,2023-9-3 21:00:08
9,2023-9-3 21:00:13
8,2023-9-3 21:00:18
9,2023-9-3 21:00:23
8,2023-9-3 21:00:28
9,2023-9-3 21:00:33
8,2023-9-3 21:00:38
5,2023-9-4 12:53:57
6,2023-9-4 12:54:02
7,2023-9-4 12:54:07
11,2023-9-4 19:06:44
7,2023-9-4 19:22:02
9,2023-9-4 19:22:07
9,2023-9-4 19:22:12
7,2023-9-4 19:22:27
9,2023-9-4 19:22:37
11,2023-9-4 19:22:50
8,2023-9-4 19:23:09
9,2023-9-4 19:23:14
9,2023-9-4 19:23:19
9,2023-9-4 19:25:29
10,2023-9-4 19:27:20
8,2023-9-4 19:27:24
8,2023-9-4 19:27:29
10,2023-9-4 19:27:34
8,2023-9-4 19:27:39
6,2023-9-4 19:27:45
8,2023-9-4 19:27:50
9,2023-9-4 19:27:55
8,2023-9-4 19:28:00
9,2023-9-4 19:28:05
8,2023-9-4 19:28:10
8,2023-9-4 19:28:15
7,2023-9-4 19:28:20
10,2023-9-4 19:28:25
7,2023-9-4 19:28:30
7,2023-9-4 19:28:35
11,2023-9-4 19:28:40
9,2023-9-5 19:28:45
8,2023-9-5 19:28:50
9,2023-9-5 19:28:55
6,2023-9-5 19:29:00
8,2023-9-5 19:29:05
7,2023-9-5 19:29:10
7,2023-9-5 19:29:15
7,2023-9-5 19:29:20
9,2023-9-5 19:29:25
6,2023-9-5 19:29:30
7,2023-9-5 19:29:36
7,2023-9-5 19:29:41
7,2023-9-5 19:29:46
9,2023-9-5 19:29:51
9,2023-9-5 19:29:56
9,2023-9-5 19:30:01
9,2023-9-5 19:30:06
9,2023-9-5 19:30:11
8,2023-9-5 19:30:16
9,2023-9-5 19:30:21
9,2023-9-5 19:30:26
6,2023-9-5 19:30:31
10,2023-9-5 19:30:36
9,2023-9-6 19:30:41
11,2023-9-6 19:30:46
8,2023-9-6 19:30:51
6,2023-9-6 19:30:56
6,2023-9-6 19:31:01
10,2023-9-6 19:31:06
8,2023-9-6 19:31:11
8,2023-9-6 19:31:16
9,2023-9-6 19:31:21
9,2023-9-6 19:31:26
8,2023-9-6 19:31:31
9,2023-9-6 19:31:36
8,2023-9-6 19:31:41
8,2023-9-6 19:31:46
8,2023-9-6 19:31:51
4,2023-9-6 19:31:56
10,2023-9-6 19:32:02
10,2023-9-6 19:32:07
7,2023-9-6 19:32:12
9,2023-9-6 19:32:17
7,2023-9-6 19:32:22
9,2023-9-6 19:32:27
8,2023-9-6 19:32:32
10,2023-9-6 19:32:37
9,2023-9-6 19:32:42
9,2023-9-6 19:32:47
10,2023-9-6 19:32:52
9,2023-9-6 19:32:58
10,2023-9-6 19:33:02
9,2023-9-6 19:33:07
10,2023-9-6 19:33:13
8,2023-9-6 19:33:18
10,2023-9-6 19:33:23
10,2023-9-6 19:33:28
9,2023-9-6 19:33:33
8,2023-9-6 19:33:39
10,2023-9-6 19:33:44
6,2023-9-6 21:32:09
1,2023-9-7 14:30:25
1,2023-9-7 14:30:30
2,2023-9-8 14:15:05
3,2023-9-8 14:15:10
4,2023-9-8 14:24:43
3,2023-9-8 14:24:47
2,2023-9-8 14:24:52
2,2023-9-8 14:24:57
3,2023-9-8 15:04:14
2,2023-9-8 15:04:47
2,2023-9-8 15:04:54
3,2023-9-8 15:04:59
2,2023-9-8 15:05:05
2,2023-9-8 15:05:10
2,2023-9-8 15:05:15
1,2023-9-8 15:05:20
2,2023-9-8 15:05:25
2,2023-9-8 15:06:41
1,2023-9-8 15:12:45
6,2023-9-8 19:06:56
4,2023-9-8 19:07:05
3,2023-9-8 19:16:43
3,2023-9-8 19:16:48
5,2023-9-8 19:16:53
4,2023-9-8 19:16:58
5,2023-9-8 19:17:03
4,2023-9-8 19:17:08
4,2023-9-8 19:17:13
4,2023-9-8 19:17:18
4,2023-9-8 19:17:23
3,2023-9-8 19:17:28
3,2023-9-8 19:17:33
4,2023-9-8 19:17:38
3,2023-9-8 19:17:43
4,2023-9-8 19:17:48
11,2023-9-8 19:20:20
12,2023-9-8 19:20:25
11,2023-9-8 19:20:30
11,2023-9-8 19:20:35
12,2023-9-8 19:20:40
12,2023-9-8 19:20:45
14,2023-9-8 19:20:50
14,2023-9-8 19:20:55
12,2023-9-8 19:21:00
13,2023-9-8 19:21:05
12,2023-9-8 19:21:10
13,2023-9-8 19:21:15
11,2023-9-8 19:21:20
12,2023-9-8 19:21:26
11,2023-9-8 19:21:31
21,2023-9-9 17:03:39
18,2023-9-9 17:03:44
18,2023-9-9 17:03:49
19,2023-9-9 17:05:30
3,2023-9-10 01:09:57
11,2023-9-10 01:09:58
12,2023-9-10 01:09:59
12,2023-9-10 01:10:00
11,2023-9-10 01:10:01
11,2023-9-10 01:10:02
15,2023-9-10 01:10:03
11,2023-9-10 01:10:04
13,2023-9-10 01:10:05
12,2023-9-10 01:10:06
11,2023-9-10 01:10:07
12,2023-9-10 01:10:08
1,2023-9-10 01:10:09
6,2023-9-10 01:33:05
11,2023-9-10 01:41:24
13,2023-9-10 01:41:29
7,2023-9-10 01:50:05
9,2023-9-10 01:50:10
9,2023-9-10 01:50:15
9,2023-9-10 01:50:19
9,2023-9-10 01:50:24
9,2023-9-10 01:50:30
8,2023-9-10 01:50:35
8,2023-9-10 01:50:40
8,2023-9-10 01:50:45
3,2023-9-10 01:50:50
3,2023-9-10 22:18:19
4,2023-9-10 22:18:24
11,2023-9-10 22:18:29
13,2023-9-10 22:18:34
13,2023-9-10 22:18:39
7,2023-9-10 22:20:03
12,2023-9-11 11:31:39
12,2023-9-11 11:34:44
12,2023-9-11 11:34:49
14,2023-9-11 11:34:54
12,2023-9-11 11:34:59
12,2023-9-11 11:35:04
12,2023-9-11 11:35:09
11,2023-9-11 11:35:33
12,2023-9-11 11:35:38
12,2023-9-11 11:35:43
11,2023-9-11 11:35:48
12,2023-9-11 11:35:53
12,2023-9-11 11:35:58
6,2023-9-11 12:11:25
12,2023-9-12 13:33:48
13,2023-9-12 13:34:01
1,2023-9-13 01:16:55
6,2023-9-13 01:17:15
1,2023-9-13 01:17:20
2,2023-9-13 01:17:25
9,2023-9-13 01:17:30
12,2023-9-13 01:17:40
10,2023-9-13 01:17:45
10,2023-9-13 01:17:50
10,2023-9-13 01:17:55
11,2023-9-21 15:42:27
16,2023-9-21 15:42:33
16,2023-9-21 15:42:40
15,2023-9-21 15:42:46
13,2023-9-21 15:43:44
18,2023-9-21 15:43:50
16,2023-9-21 15:43:56
7,2023-9-21 15:48:13
16,2023-9-21 15:48:21
15,2023-9-21 15:48:27
24,2023-9-21 15:48:34
20,2023-9-21 15:48:41
20,2023-9-21 15:48:47
12,2023-9-21 15:48:54
13,2023-9-21 15:49:58
18,2023-9-21 15:50:20
18,2023-9-21 15:50:26
16,2023-9-21 15:51:22
15,2023-9-21 15:52:06
18,2023-9-21 15:52:13
20,2023-9-21 15:52:19
2,2023-9-22 18:46:52
1,2023-9-22 18:46:57
2,2023-9-22 18:47:07
2,2023-9-22 18:47:17
3,2023-9-22 18:47:22
2,2023-9-22 18:47:27
1,2023-9-22 18:47:32
1,2023-9-22 18:48:07
1,2023-9-22 18:48:12
2,2023-9-22 18:48:17
4,2023-9-22 18:48:22
3,2023-9-22 18:51:56
1,2023-9-22 18:52:01
3,2023-9-22 18:52:06
3,2023-9-22 18:52:56
3,2023-9-22 18:53:01
3,2023-9-22 18:53:06
2,2023-9-22 18:53:11
3,2023-9-22 18:53:16
4,2023-9-22 18:54:12
5,2023-9-22 18:54:17
12,2023-9-22 18:54:22
11,2023-9-22 18:54:27
3,2023-9-22 18:58:56
4,2023-9-22 18:59:09
4,2023-9-22 18:59:30
4,2023-9-22 18:59:35
7,2023-9-22 18:59:40
18,2023-9-22 18:59:45
8,2023-9-22 18:59:50
12,2023-9-22 18:59:55
10,2023-9-22 19:00:00
3,2023-9-22 19:00:05
6,2023-9-22 19:00:10
5,2023-9-22 19:00:31
2,2023-9-22 19:01:18
2,2023-9-22 19:01:22
4,2023-9-22 19:01:27
3,2023-9-22 19:01:32
3,2023-9-22 19:01:46
3,2023-9-22 19:01:51
2,2023-9-22 19:01:56
1,2023-9-22 19:02:10
4,2023-9-22 19:02:14
1,2023-9-22 19:02:19
3,2023-9-22 19:02:24
3,2023-9-22 19:02:29
1,2023-9-22 19:02:34
1,2023-9-22 19:02:39
1,2023-9-22 19:02:44
1,2023-9-22 19:02:49
1,2023-9-22 19:02:54
1,2023-9-22 19:02:59
3,2023-9-22 19:03:04
1,2023-9-22 19:03:09
2,2023-9-22 19:03:14
1,2023-9-22 19:03:19
1,2023-9-22 19:03:25
1,2023-9-22 19:03:29
3,2023-9-22 19:03:34
1,2023-9-22 19:03:39
2,2023-9-22 19:03:44
2,2023-9-22 19:03:54
1,2023-9-22 19:03:59
2,2023-9-22 19:04:04
1,2023-9-22 19:04:09
1,2023-9-22 19:04:15
1,2023-9-22 19:04:19
1,2023-9-22 19:04:24
1,2023-9-22 19:04:29
1,2023-9-22 19:04:34
1,2023-9-22 19:04:44
1,2023-9-22 19:04:49
1,2023-9-22 19:05:00
3,2023-9-22 19:05:30
2,2023-9-22 19:05:34
2,2023-9-22 19:05:40
2,2023-9-22 19:05:45
2,2023-9-22 19:05:50
2,2023-9-22 19:05:54
2,2023-9-22 19:05:59
2,2023-9-22 19:06:04
2,2023-9-22 19:06:09
3,2023-9-22 19:06:55
2,2023-9-22 19:07:00
2,2023-9-22 19:07:05
3,2023-9-22 19:07:10
2,2023-9-22 19:07:15
2,2023-9-22 19:07:20
2,2023-9-22 19:07:25
2,2023-9-22 19:07:30
2,2023-9-22 19:07:35
2,2023-9-22 19:07:40
2,2023-9-22 19:07:45
5,2023-9-22 19:07:50
11,2023-9-22 19:07:55
16,2023-9-22 19:08:00
14,2023-9-22 19:08:05
13,2023-9-22 19:08:10
3,2023-9-22 19:08:15
14,2023-9-22 19:08:20
13,2023-9-22 19:08:25
12,2023-9-22 19:08:30
13,2023-9-22 19:08:35
5,2023-9-22 19:08:40
2,2023-9-22 19:08:50
11,2023-9-22 19:08:55
12,2023-9-22 19:09:00
7,2023-9-22 19:09:05
7,2023-9-22 19:09:10
1,2023-9-22 19:09:15
11,2023-9-22 19:09:20
10,2023-9-22 19:09:25
13,2023-9-22 19:09:30
2,2023-9-22 19:09:35
1,2023-9-22 19:09:40
11,2023-9-22 19:09:45
13,2023-9-22 19:09:50
11,2023-9-22 19:09:55
12,2023-9-22 19:10:00
11,2023-9-22 19:10:05
13,2023-9-22 19:10:10
13,2023-9-22 19:10:15
12,2023-9-22 19:10:20
12,2023-9-22 19:10:25
16,2023-9-22 19:13:25
16,2023-9-22 19:13:30
16,2023-9-22 19:13:55
16,2023-9-22 19:14:00
19,2023-9-22 19:14:05
18,2023-9-22 19:14:10
17,2023-9-22 19:14:15
17,2023-9-22 19:14:20
17,2023-9-22 19:14:25
16,2023-9-22 19:14:30
17,2023-9-22 19:14:35
19,2023-9-22 19:14:40
22,2023-9-22 19:14:45
21,2023-9-22 19:14:50
20,2023-9-22 19:14:55
15,2023-9-22 19:15:05
14,2023-9-22 19:15:10
14,2023-9-22 19:15:15
14,2023-9-22 19:15:20
14,2023-9-22 19:15:25
14,2023-9-22 19:15:30
14,2023-9-22 19:15:35
14,2023-9-22 19:15:40
14,2023-9-22 19:15:45
